Année,,Référence,Solution,Durée de la relation (en mois),Durée du préavis,Durée raisonnable
2017,,"CA Paris, 10 mai 2017, n° 15/10894",Insuffisant,96,,12
2017,,"CA Paris, 17 mai 2017, n° 16/17988",Insuffisant,84,,10
2017,,"CA Paris, 18 mai 2017, n° 15/08742",Insuffisant,45,,9
2017,,"CA Paris, 19 mai 2017, n° 16/07783",Insuffisant,108,3,12
2017,,"CA Paris, 24 mai 2017, n° 14/22435",Insuffisant,60,,12
2017,,"CA Paris, 31 mai 2017, n° 14/24805",Insuffisant,108,,10
2017,,"CA Paris, 3 juillet 2017, n° 15/17981",Insuffisant,120,3,9
2017,,"CA Paris, 6 juillet 2017, n° 16/01061",Insuffisant,156,,6
2017,,"CA Paris, 6 juillet 2017, n° 15/25066",Insuffisant,108,,4
2017,,"CA Paris, 20 septembre 2017, n° 16/04711",Insuffisant,72,1,6
2017,,"CA Paris, 27 septembre 2017, n° 15/03206",Insuffisant,84,,6
2017,,"CA Paris, 11 octobre 2017, n° 15/22585",Insuffisant,96,7,10
2017,,"CA Paris, 18 octobre 2017, n° 15/18283",Insuffisant,84,1,5
2017,,"CA Paris, 17 novembre 2017, n° 15/00742",Insuffisant,72,,6
2017,,"CA Paris, 20 novembre 2017, n° 16/05572",Insuffisant,60,,3
2017,,"CA Paris, 24 novembre 2017, n° 15/19637",Insuffisant,84,3,7
2017,,"CA Paris, 29 novembre 2017, n° 15/20978",Insuffisant,60,,6
2017,,"CA Paris, 29 novembre 2017, n° 15/00745",Insuffisant,60,,6
2017,,"CA Paris, 29 novembre 2017, n° 15/01080",Insuffisant,96,3,6
2017,,"CA Paris, 30 novembre 2017, n° 16/03369",Insuffisant,84,,4
2017,,"CA Paris, 30 novembre 2017, n° 16/02353",Insuffisant,108,,6
2017,,"CA Paris, 13 décembre 2017, n° 15/18919",Insuffisant,84,,8
2017,,"CA Paris, 20 décembre 2017, n° 15/20154",Insuffisant,60,,4
2017,,"CA Paris, 22 décembre 2017, n° 14/19086",Insuffisant,72,,1
2017,,"CA Paris, 9 janvier 2017, n° 15/17533",Insuffisant,144,,12
2017,,"CA Paris, 3 février 2017, n° 15/00572",Insuffisant,144,,12
2017,,"CA Paris, 3 février 2017, n° 15/00539",Insuffisant,180,,12
2017,,"CA Paris, 8 février 2017, n° 14/15931",Insuffisant,120,,12
2017,,"CA Paris, 10 février 2017, n° 15/00523",Insuffisant,144,,7.5
2017,,"CA Paris, 15 février 2017, n° 14/16376",Insuffisant,216,,10
2017,,"CA Paris, 8 mars 2017, n° 14/17164",Insuffisant,156,,8
2017,,"CA Paris, 29 mars 2017, n° 14/16043",Insuffisant,144,,12
2017,,"CA Paris, 30 mars 2017, n° 15/10192",Insuffisant,156,,3
2017,,"CA Paris, 26 avril 2017, n° 15/15356",Insuffisant,120,,10
2017,,"CA Paris, 24 mai 2017, n° 14/18202",Insuffisant,144,3,12
2017,,"CA Grenoble, 6 juin 2017, n° 13/01023",Insuffisant,120,6,12
2017,,"CA Paris, 30 juin 2017, n° 15/16782",Insuffisant,132,,10
2017,,"CA Paris, 13 septembre 2017, n° 16/04443",Insuffisant,120,,27
2017, ,"CA Paris, 13 septembre 2017, n° 14/25528",Insuffisant,144,3,9
2017,,"CA Paris, 20 septembre 2017, n° 15/24125",Insuffisant,192,,12
2017,,"CA Paris, 20 septembre 2017, n° 14/26153",Insuffisant,144,6,12
2017,,"CA Paris, 27 septembre 2017, n° 15/02824",Insuffisant,240,,12
2017,,"CA Paris, 4 octobre 2017, n° 15/03041",Insuffisant,132,,11
2017,,"CA Paris, 25 octobre 2017, n° 15/02091",Insuffisant,216,,22
2017,,"CA Paris, 22 novembre 2017, n° 15/18782",Insuffisant,132,4,10
2017,,"CA Paris, 22 décembre 2017, n° 15/18804",Insuffisant,132,,9
2017,,"CA Paris, 4 janvier 2017, n° 14/08156",Insuffisant,264,,10
2017,,"CA Paris, 11 janvier 2017, n° 14/07959",Insuffisant,444,,24
2017,,"CA Paris, 2 février 2017, n° 15/04850",Insuffisant,240,,12
2017,,"CA Paris, 22 février 2017, n° 14/02772",Insuffisant,264,,12
2017,,"CA Paris, 5 mai 2017, n° 15/13369",Insuffisant,384,13,18
2017,,"CA Paris, 17 mai 2017, n° 14/21631",Insuffisant,300,,2
2017,,"CA Paris, 13 septembre 2017, n° 14/23934",Insuffisant,600,,24
2017,,"CA Paris, 4 octobre 2017, n° 16/06208",Insuffisant,600,,18
2017,,"CA Paris, 25 octobre 2017, n° 16/20059",Insuffisant,240,,5
2017,,"CA Paris, 15 novembre 2017, n° 15/01941",Insuffisant,264,,18
2017,,"CA Paris, 22 novembre 2017, n° 16/09705",Insuffisant,264,,14
2016,,,Suffisant,41,,5
2016,,,Suffisant,24,,1
2016,,,Suffisant,14,,3
2016,,,Suffisant,24,,0.75
2016,,,Suffisant,30,,1.5
2016,,,Suffisant,8,,3
2016,,,Suffisant,24,,3
2016,,,Suffisant,36,,6
2016,,,Suffisant,60,,6
2016,,,Suffisant,72,,7
2016,,,Suffisant,102,,6
2016,,,Suffisant,84,,12
2016,,,Suffisant,96,,8
2016,,,Suffisant,72,,12
2016,,,Suffisant,60,,3
2016,,,Suffisant,108,,6
2016,,,Suffisant,72,,16
2016,,,Suffisant,72,,6
2016,,,Suffisant,72,,6
2016,,,Suffisant,84,,6
2016,,,Suffisant,84,,6
2016,,,Suffisant,90,,6
2016,,,Suffisant,96,,3
2016,,,Suffisant,165,,10
2016,,,Suffisant,240,,6
2016,,,Suffisant,228,,6
2016,,,Suffisant,132,,15
2016,,,Suffisant,132,,3
2016,,,Suffisant,216,,5
2016,,,Suffisant,156,,14.5
2016,,,Suffisant,156,,26
2016,,,Suffisant,156,,6
2016,,,Suffisant,192,,15
2016,,,Suffisant,144,,11
2016,,,Suffisant,162,,7
2016,,,Suffisant,516,,24
2016,,,Suffisant,378,,18
2016,,,Suffisant,564,,25
2016,,,Suffisant,300,,5
2016,,,Suffisant,420,,14
2016,,,Suffisant,336,,6.5
2016,,,Suffisant,288,,2
2016,,,Suffisant,276,,14
2016,,,Suffisant,264,,6
2016,,,Insuffisant,48,5,6
2016,,,Insuffisant,48,4,6
2016,,,Insuffisant,8,,1
2016,,,Insuffisant,36,,3
2016,,,Insuffisant,42,,4
2016,,,Insuffisant,48,,4
2016,,,Insuffisant,36,,6
2016,,,Insuffisant,39,,3
2016,,,Insuffisant,48,,6
2016,,,Insuffisant,36,,3
2016,,,Insuffisant,36,,3
2016,,,Insuffisant,60,,4
2016,,,Insuffisant,24,,6
2016,,,Insuffisant,36,,2
2016,,,Insuffisant,36,,4
2016,,,Insuffisant,39,,4
2016,,,Insuffisant,56,,6
2016,,,Insuffisant,60,,24
2016,,,Insuffisant,84,,3
2016,,,Insuffisant,60,,2
2016,,,Insuffisant,89,,6
2016,,,Insuffisant,96,,12
2016,,,Insuffisant,84,,6
2016,,,Insuffisant,84,,8
2016,,,Insuffisant,72,,3
2016,,,Insuffisant,84,,6
2016,,,Insuffisant,96,,8
2016,,,Insuffisant,72,,3
2016,,,Insuffisant,96,,6
2016,,,Insuffisant,96,,6
2016,,,Insuffisant,60,,6
2016,,,Insuffisant,108,,18
2016,,,Insuffisant,108,,6
2016,,,Insuffisant,84,,4
2016,,,Insuffisant,84,,6
2016,,,Insuffisant,156,3,10
2016,,,Insuffisant,156,,10
2016,,,Insuffisant,228,1.5,6
2016,,,Insuffisant,138,,8
2016,,,Insuffisant,130,,8
2016,,,Insuffisant,168,,12
2016,,,Insuffisant,156,,12
2016,,,Insuffisant,204,,6
2016,,,Insuffisant,156,,8
2016,,,Insuffisant,120,,8
2016,,,Insuffisant,192,6,20
2016,,,Insuffisant,168,7,12
2016,,,Insuffisant,168,,12
2016,,,Insuffisant,300,6,12
2016,,,Insuffisant,480,,12
2016,,,Insuffisant,756,,24
2016,,,Insuffisant,276,,23
2016,,,Insuffisant,444,,24
2016,,,Insuffisant,348,,10
2016,,,Insuffisant,300,,9
2016,,,Insuffisant,360,,24
2015,,,Suffisant,60,,4.5
2015,,,Suffisant,12,,1
2015,,,Suffisant,54,,6
2015,,,Suffisant,48,,7
2015,,,Suffisant,48,,3
2015,,,Suffisant,27,,6
2015,,,Suffisant,72,,3
2015,,,Suffisant,96,,6
2015,,,Suffisant,18,,5
2015,,,Suffisant,72,,6
2015,,,Suffisant,60,,12
2015,,,Suffisant,84,,36
2015,,,Suffisant,1000,,24
2015,,,Suffisant,72,,3
2015,,,Suffisant,104,,6
2015,,,Suffisant,72,,3
2015,,,Suffisant,216,,3
2015,,,Suffisant,156,,4
2015,,,Suffisant,192,,6
2015,,,Suffisant,240,,6
2015,,,Suffisant,252,,22
2015,,,Suffisant,276,,25
2015,,,Insuffisant,29,,3
2015,,,Insuffisant,51,,6
2015,,,Insuffisant,24,,3
2015,,,Insuffisant,13,,3
2015,,,Insuffisant,36,,6
2015,,,Insuffisant,120,,9
2015,,,Insuffisant,36,,3
2015,,,Insuffisant,31,,6
2015,,,Insuffisant,60,,3
2015,,,Insuffisant,180,,3
2015,,,Insuffisant,240,,3
2015,,,Insuffisant,35,,6
2015,,,Insuffisant,18,,1
2015,,,Insuffisant,36,,3
2015,,,Insuffisant,24,,3
2015,,,Insuffisant,54,,3
2015,,,Insuffisant,64,,6
2015,,,Insuffisant,120,,6
2015,,,Insuffisant,87,,10
2015,,,Insuffisant,84,,12
2015,,,Insuffisant,24,,6
2015,,,Insuffisant,66,,4.5
2015,,,Insuffisant,96,,8
2015,,,Insuffisant,84,,3
2015,,,Insuffisant,72,,3
2015,,,Insuffisant,108,,6
2015,,,Insuffisant,72,,6
2015,,,Insuffisant,84,5,9
2015,,,Insuffisant,72,,9
2015,,,Insuffisant,120,,9
2015,,,Insuffisant,96,,8
2015,,,Insuffisant,84,,6
2015,,,Insuffisant,96,,18
2015,,,Insuffisant,108,,8
2015,,,Insuffisant,60,,12
